Training-Test-Split,Aktivierungsfunktion,Trainingsdurchgang,Trainingszeit,validation accuracy,test accuracy
70-30,tanh,41,99.7,0.9875,0.9608
90-10,tanh,41,110.9,0.9946,0.9734
50-50,sigmoid,41,87.6,0.6455,0.6056
70-30,sigmoid,41,101.3,0.713,0.6922
90-10,sigmoid,41,112.2,0.7883,0.7608
50-50,relu,41,86.1,0.9943,0.9656
70-30,relu,41,98.0,0.9941,0.9685
90-10,relu,41,109.7,0.9936,0.9713
50-50,tanh,42,87.8,0.9885,0.9563
70-30,tanh,42,98.1,0.9761,0.9449
90-10,tanh,42,112.0,0.9931,0.9766
50-50,sigmoid,42,86.7,0.647,0.6391
70-30,sigmoid,42,102.4,0.8773,0.8649
90-10,sigmoid,42,119.3,0.7967,0.7695
50-50,relu,42,89.1,0.9949,0.9693
70-30,relu,42,101.9,0.9799,0.9503
90-10,relu,42,112.7,0.9923,0.9638
50-50,tanh,43,90.7,0.9878,0.9646
70-30,tanh,43,102.4,0.9885,0.955
90-10,tanh,43,114.6,0.9926,0.9605
50-50,sigmoid,43,91.0,0.6325,0.5924
70-30,sigmoid,43,102.6,0.8893,0.8646
90-10,sigmoid,43,116.2,0.9265,0.9065
50-50,relu,43,87.9,0.9751,0.9485
70-30,relu,43,101.9,0.997,0.982
90-10,relu,43,113.5,0.9824,0.9432
50-50,tanh,44,94.4,0.9826,0.9487
70-30,tanh,44,101.5,0.9856,0.9615
90-10,tanh,44,113.9,0.9939,0.9652
50-50,sigmoid,44,94.2,0.6897,0.6554
70-30,sigmoid,44,107.2,0.9067,0.8642
90-10,sigmoid,44,116.1,0.8738,0.8544
50-50,relu,44,89.4,0.9739,0.9367
70-30,relu,44,100.3,0.9787,0.9424
90-10,relu,44,114.5,0.9957,0.9677
50-50,tanh,45,90.3,0.9763,0.9527
70-30,tanh,45,102.7,0.9886,0.9663
90-10,tanh,45,115.0,0.987,0.9577
50-50,sigmoid,45,90.4,0.712,0.674
70-30,sigmoid,45,102.5,0.8692,0.8402
90-10,sigmoid,45,115.3,0.7689,0.7173
50-50,relu,45,92.1,0.9859,0.95
70-30,relu,45,101.0,0.9945,0.9799
90-10,relu,45,115.1,0.9972,0.9775
50-50,tanh,46,89.3,0.9872,0.9707
70-30,tanh,46,102.1,0.9911,0.968
90-10,tanh,46,112.2,0.9742,0.9394
50-50,sigmoid,46,87.9,0.7194,0.6996
70-30,sigmoid,46,99.4,0.9353,0.8949
90-10,sigmoid,46,112.0,0.8936,0.8529
50-50,relu,46,84.1,0.9726,0.9322
70-30,relu,46,98.0,0.9914,0.9631
90-10,relu,46,111.1,0.987,0.948
50-50,tanh,47,88.4,0.9913,0.9679
70-30,tanh,47,106.9,0.9849,0.9624
90-10,tanh,47,111.3,0.9906,0.964
50-50,sigmoid,47,87.2,0.7819,0.7584
70-30,sigmoid,47,99.9,0.9154,0.885
90-10,sigmoid,47,111.2,0.8352,0.8103
50-50,relu,47,86.9,0.9932,0.9758
70-30,relu,47,100.4,0.9912,0.959
90-10,relu,47,113.5,0.9962,0.9754
50-50,tanh,48,90.1,0.9914,0.9677
70-30,tanh,48,102.3,0.987,0.9647
90-10,tanh,48,116.0,0.9916,0.9593
50-50,sigmoid,48,93.3,0.8984,0.8797
70-30,sigmoid,48,102.4,0.7572,0.7233
90-10,sigmoid,48,112.8,0.9192,0.8865
50-50,relu,48,86.3,0.9878,0.9507
70-30,relu,48,97.4,0.995,0.9625
90-10,relu,48,110.2,0.9903,0.963
